fecha,marca,local,canal,id_orden,estado_orden,subtotal,impuesto,descuento
2023-11-02 20:39:29,Umbrella SH,Umbrella SH - Calle Linares,ubereats,B263C,Nuevo,"39,8",0,"-13,9"
2023-11-02 20:38:51,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,C4B47,Entregado,"21,3",0,0
2023-11-02 20:38:15,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,68976,Entregado,"21,2",0,0
2023-11-02 20:37:57,Umbrella SH,EMEA - SP - MAD - Tetuan,glovo,MJB4BA9M,Entregado,"15,4",0,0
2023-11-02 20:34:06,Umbrella SH,Umbrella SH - Calle Linares,gloria-foods,777729045,Nuevo,"63,7","6,14",0
2023-11-02 20:33:33,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,DBD3E,Entregado,"28,3",0,0
2023-11-02 20:32:13,Umbrella SH,Umbrella SH - Calle Linares,ubereats,7DD3E,Nuevo,43,0,"-13,9"
2023-11-02 20:31:44,Umbrella SH,Tepuy Burger - Benidorm,glovo,BRDA9S4M,Entregado,"27,9",0,0
2023-11-02 20:30:52,Umbrella SH,Umbrella SH - Calle Linares,gloria-foods,777734407,Nuevo,"21,3","1,94",0
2023-11-02 20:30:43,Tepuy Burger,Tepuy Burger - Calle Bazan,glovo,ANNR4QHL,Entregado,16,0,0
2023-11-02 20:27:39,Tepuy Burger,Tepuy Burger - Benidorm,glovo,B91ZG23U,Entregado,39,0,0
2023-11-02 20:26:05,Tepuy Burger,Tepuy Burger - Benidorm,glovo,BNLLAXZ4,Entregado,"25,2",0,0
2023-11-02 20:24:10,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,A4E8C,Entregado,"34,4",0,"-13,9"
2023-11-02 20:22:53,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,glovo,AY29R9UE,Entregado,"30,2",0,0
2023-11-02 20:21:58,Tepuy Burger,Tepuy Burger - Benidorm,ubereats,A3FE7,Entregado,"28,8",0,0
2023-11-02 20:20:59,Umbrella SH,Goleta,ubereats,45E7B,Nuevo,"32,9",0,"-13,9"
2023-11-02 20:19:21,Umbrella SH,Goleta,ubereats,68C79,Entregado,37,0,"-13,9"
2023-11-02 20:19:13,Umbrella SH,Goleta,ubereats,C6B65,Nuevo,"48,9",0,"-13,9"
2023-11-02 20:15:55,Umbrella SH,Goleta,ubereats,58E56,Nuevo,"31,4",0,"-13,9"
2023-11-02 20:14:08,Umbrella SH,Tepuy Burger - Benidorm,glovo,BXTUN9Z4,Entregado,"44,1",0,0
2023-11-02 20:13:37,Tepuy Basics,Goleta,glovo,A3SLGLZX,Entregado,"23,8",0,0
2023-11-02 20:13:10,Umbrella SH,EMEA - SP - MAD - Salamanca,ubereats,3D1B2,Entregado,"13,6",0,0
2023-11-02 20:12:23,Umbrella SH,Umbrella SH - Calle Linares,ubereats,E6F2A,Nuevo,15,0,0
2023-11-02 20:11:40,Tepuy Burger,Tepuy Burger - Benidorm,glovo,BVQVYDKN,Entregado,"14,9",0,0
2023-11-02 20:08:27,Umbrella SH,Goleta,gloria-foods,777722724,Nuevo,"27,8",0,0
2023-11-02 20:00:51,Umbrella SH,Umbrella SH - San Vicent del Raspeig,gloria-foods,777282840,Entregado,"40,1",0,0
2023-11-02 19:58:26,Umbrella SH,EMEA - SP - MAD - Salamanca,ubereats,D7425,Entregado,37,0,"-13,9"
2023-11-02 19:57:49,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,A9B93,Entregado,"31,4",0,"-13,9"
2023-11-02 19:57:14,Tepuy Burger,Tepuy Burger - Calle Bazan,gloria-foods,777709666,Nuevo,"34,3",0,0
2023-11-02 19:37:11,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,DD7D6,Entregado,"31,8",0,"-13,9"
2023-11-02 19:29:32,Umbrella SH,EMEA - SP - MAD - Tetuan,glovo,MKQZZXAL,Entregado,11,0,0
2023-11-02 19:14:49,Umbrella SH,EMEA - SP - MAD - Salamanca,ubereats,9845F,Entregado,"18,9",0,0
2023-11-02 18:39:38,Umbrella SH,EMEA - SP - MAD - Salamanca,justeat,138615906,Entregado,"25,2",0,0
2023-11-02 18:10:57,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,60DA5,Entregado,"25,4",0,0
2023-11-02 17:38:14,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,91B20,Entregado,"38,4",0,"-13,9"
2023-11-02 16:37:12,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,22602,Entregado,"31,4",0,"-13,9"
2023-11-02 16:03:38,Umbrella SH,EMEA - SP - MAD - Tetuan,glovo,MGVRQEVG,Entregado,"12,7",0,0
2023-11-02 15:58:11,Umbrella SH,EMEA - SP - MAD - Salamanca,ubereats,2AF0E,Entregado,"31,4",0,"-18,9"
2023-11-02 15:56:18,Umbrella SH,EMEA - SP - MAD - Tetuan,glovo,MAHU38EN,Entregado,"37,8",0,0
2023-11-02 15:49:23,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,D4EA0,Entregado,"43,4",0,"-13,9"
2023-11-02 15:44:04,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,C2788,Entregado,18,0,0
2023-11-02 15:42:51,Tepuy Burger,Tepuy Burger - Benidorm,glovo,BLPAZXJQ,Entregado,"44,8",0,0
2023-11-02 15:39:35,Umbrella SH,Umbrella SH - Calle Linares,ubereats,B9F7A,Nuevo,"36,3",0,"-11,9"
2023-11-02 15:35:44,Umbrella SH,Tepuy Burger - Benidorm,glovo,BAYXR48M,Entregado,"22,1",0,0
