"Fecha","Marca","Locación","Canal","ID de la orden","Estado de la orden","Subtotal","Impuesto","Descuentos","Cargos por error en el pedido","Código de moneda"
"2023-10-26 15:33:26","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BVS5Y5PQ","Cancelado","12,3","0","0","0","EUR"
"2023-10-26 15:19:49","Tepuy Burger","Tepuy Burger - Benidorm","glovo","B1GX9LKX","Entregado","21,8","0","0","0","EUR"
"2023-10-26 14:31:31","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","glovo","A5DRLU9G","Entregado","17,2","0","0","0","EUR"
"2023-10-26 14:19:15","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","ABULYZRD","Entregado","30","0","0","0","EUR"
"2023-10-26 13:59:11","Tepuy Basics","Umbrella SH - Calle Linares","glovo","AGUJLRHT","Entregado","15,1","0","-2,52","0","EUR"
"2023-10-26 13:53:34","Tepuy Basics","Umbrella SH - Calle Linares","glovo","AZV1LUCZ","Entregado","18,4","0","0","0","EUR"
"2023-10-26 13:40:37","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BP2KX1UE","Entregado","62,3","0","0","0","EUR"
"2023-10-25 22:42:23","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","D3DFD","Entregado","38,3","3,48","0","0","EUR"
"2023-10-25 22:27:51","Tepuy Basics","Umbrella SH - Calle Linares","glovo","ALFX2T1V","Entregado","15,1","0","0","0","EUR"
"2023-10-25 22:03:07","Tepuy Basics","EMEA - SP - MAD - Salamanca","ubereats","4F1D4","Entregado","13,9","1,26","0","0","EUR"
"2023-10-25 21:54:15","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BSCTYS7P","Entregado","13,5","0","0","0","EUR"
"2023-10-25 21:49:37","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AJHE6TD1","Entregado","31,7","0","0","0","EUR"
"2023-10-25 21:37:36","Tepuy Basics","EMEA - SP - MAD - Tetuan","ubereats","A0AE5","Entregado","16,3","1,48","0","0","EUR"
"2023-10-25 21:28:54","Tepuy Basics","EMEA - SP - MAD - Salamanca","ubereats","C913B","Entregado","17,9","1,63","0","0","EUR"
"2023-10-25 21:07:14","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","ABW6PJTN","Entregado","26,8","0","0","0","EUR"
"2023-10-25 21:07:02","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BQ7BY5LJ","Entregado","17,9","0","0","0","EUR"
"2023-10-25 20:38:41","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","glovo","ARVXT9VL","Entregado","27,5","0","0","0","EUR"
"2023-10-25 20:27:39","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","glovo","ALNZL9XM","Entregado","15,3","0","0","0","EUR"
"2023-10-25 20:22:14","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BTZTQ2WA","Entregado","16,9","0","0","0","EUR"
"2023-10-25 20:20:01","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AQ7SE8QZ","Entregado","26,8","0","0","0","EUR"
"2023-10-25 20:17:03","Tepuy Basics","Goleta","ubereats","CE310","Entregado","32,3","2,94","0","0","EUR"
"2023-10-25 20:13:15","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","F8E35","Entregado","12,2","1,11","0","0","EUR"
"2023-10-25 17:48:22","Tepuy Basics","EMEA - SP - MAD - Salamanca","ubereats","9D85B","Entregado","33,2","3,02","0","0","EUR"
"2023-10-25 15:34:37","Tepuy Basics","Goleta","glovo","ABSAYJCH","Entregado","19,7","0","-3,7","0","EUR"
"2023-10-25 14:45:48","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","glovo","AMBZQHJ1","Entregado","12,1","0","0","0","EUR"
"2023-10-25 14:19:54","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","496EC","Entregado","27,9","2,54","0","0","EUR"
"2023-10-25 14:15:17","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","2A823","Entregado","15,1","0,92","-5","0","EUR"
"2023-10-25 13:46:14","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BL4N1YS4","Entregado","30,2","0","0","0","EUR"
"2023-10-25 13:45:25","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BJKKVHLR","Entregado","27,4","0","0","0","EUR"
"2023-10-24 23:25:44","Tepuy Basics","EMEA - SP - MAD - Salamanca","ubereats","F64B1","Entregado","18,7","1,7","0","0","EUR"
"2023-10-24 22:36:45","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","8AE8F","Entregado","26","2,36","0","0","EUR"
"2023-10-24 22:30:10","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","ubereats","81577","Entregado","15","1,36","0","0","EUR"
"2023-10-24 22:05:23","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BRXWD5PD","Entregado","39,1","0","0","0","EUR"
"2023-10-24 21:52:26","Tepuy Burger","Tepuy Burger - Benidorm","ubereats","60E18","Entregado","43,2","3,93","0","0","EUR"
"2023-10-24 21:51:48","Tepuy Burger","Tepuy Burger - Benidorm","glovo","B1852UNR","Entregado","31,7","0","0","0","EUR"
"2023-10-24 21:34:12","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BLDQ5E1K","Entregado","17","0","0","0","EUR"
"2023-10-24 21:34:12","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","ARLVM1LV","Entregado","43,2","0","0","0","EUR"
"2023-10-24 21:33:04","Tepuy Basics","Umbrella SH - Calle Linares","glovo","AZEQJ7KM","Entregado","30","0","0","0","EUR"
"2023-10-24 21:32:54","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","AUWCDHBQ","Entregado","14,5","0","0","0","EUR"
"2023-10-24 21:26:44","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","glovo","A1BSF6FR","Entregado","42,1","0","0","0","EUR"
"2023-10-24 21:17:07","Tepuy Basics","Umbrella SH - Calle Linares","glovo","ANQLPV2H","Entregado","16","0","0","0","EUR"
"2023-10-24 21:10:12","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","APTHKRAQ","Entregado","29,3","0","0","0","EUR"
"2023-10-24 21:05:25","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AFU1GHPA","Entregado","32,6","0","0","0","EUR"
"2023-10-24 21:03:48","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BHPTLZCT","Entregado","40,6","0","0","0","EUR"
"2023-10-24 21:01:23","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","A81S7DC1","Entregado","63,9","0","0","0","EUR"
"2023-10-24 20:59:49","Tepuy Burger","Tepuy Burger - Benidorm","glovo","B35UGDL3","Entregado","15,7","0","0","0","EUR"
"2023-10-24 20:32:35","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","A1JTLLYW","Entregado","29,3","0","0","0","EUR"
"2023-10-24 20:28:36","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AGCNP5TP","Entregado","24,1","0","0","0","EUR"
"2023-10-24 20:24:36","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","glovo","A1LQT2HT","Entregado","37,8","0","0","0","EUR"
"2023-10-24 20:23:48","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BM5KW97D","Entregado","34,2","0","0","0","EUR"
"2023-10-24 20:22:30","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","AVZ1ZLQF","Entregado","23,3","0","0","0","EUR"
"2023-10-24 20:19:47","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BLHEL5F8","Entregado","45,3","0","0","0","EUR"
"2023-10-24 20:15:01","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AXLD1YXR","Entregado","43,9","0","0","0","EUR"
"2023-10-24 20:09:24","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AWRXR8DL","Entregado","22,4","0","0","0","EUR"
"2023-10-24 20:05:48","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","glovo","AMJTMFGX","Entregado","40,2","0","0","0","EUR"
"2023-10-24 19:52:54","Tepuy Basics","EMEA - SP - MAD - Salamanca","ubereats","CE0FE","Entregado","25,8","2,35","0","0","EUR"
"2023-10-24 15:19:33","Tepuy Basics","Goleta","ubereats","CF698","Entregado","20,9","1,9","0","0","EUR"
"2023-10-24 14:33:10","Tepuy Basics","Umbrella SH - Calle Linares","ubereats","BD412","Entregado","32,1","2,92","0","0","EUR"
"2023-10-24 14:25:05","Tepuy Basics","EMEA - SP - MAD - Tetuan","ubereats","17659","Entregado","19","1,73","0","0","EUR"
"2023-10-24 13:50:59","Tepuy Basics","Goleta","glovo","AML1D151","Entregado","12,6","0","-2,52","0","EUR"
"2023-10-24 13:49:23","Tepuy Burger","Tepuy Burger - Benidorm","ubereats","7B804","Entregado","44,4","4,04","0","0","EUR"
"2023-10-23 22:35:00","Tepuy Burger","Tepuy Burger - Benidorm","glovo","B7RG1P9F","Entregado","44,3","0","0","0","EUR"
"2023-10-23 22:23:00","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BXHQF1ZW","Entregado","56,5","0","0","0","EUR"
"2023-10-23 22:01:14","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BSZTZRS1","Entregado","50,4","0","0","0","EUR"
"2023-10-23 21:52:22","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","ADW1HH5Z","Entregado","25","0","0","0","EUR"
"2023-10-23 21:37:39","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BBML2LKJ","Entregado","41,3","0","0","0","EUR"
"2023-10-23 21:37:39","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BXGA1RF1","Entregado","12,9","0","0","0","EUR"
"2023-10-23 21:26:34","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","ANZP6TFL","Entregado","35,6","0","0","0","EUR"
"2023-10-23 21:17:38","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","A18NBNQL","Entregado","19,7","0","0","0","EUR"
"2023-10-23 20:47:13","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BAVHKHMV","Entregado","16,3","0","0","0","EUR"
"2023-10-23 20:43:09","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BAXN1GL1","Entregado","29,6","0","0","0","EUR"
"2023-10-23 20:39:23","Tepuy Basics","Goleta","glovo","AC95GALW","Entregado","37,1","0","0","0","EUR"
"2023-10-23 20:39:05","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BUGKW2CA","Entregado","42,1","0","0","0","EUR"
"2023-10-23 20:25:20","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","ADUZSLWJ","Entregado","27,4","0","0","0","EUR"
"2023-10-23 20:22:04","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","A5YZV1PA","Entregado","28,5","0","0","0","EUR"
